Creation date,Creator,Number of points,P0_x,P0_y,P0_z,P1_x,P1_y,P1_z,P2_x,P2_y,P2_z,P3_x,P3_y,P3_z,P4_x,P4_y,P4_z,P5_x,P5_y,P5_z,P6_x,P6_y,P6_z,P7_x,P7_y,P7_z,P8_x,P8_y,P8_z,P9_x,P9_y,P9_z,P10_x,P10_y,P10_z,P11_x,P11_y,P11_z,P12_x,P12_y,P12_z,P13_x,P13_y,P13_z,P14_x,P14_y,P14_z,P15_x,P15_y,P15_z,P16_x,P16_y,P16_z,P17_x,P17_y,P17_z,P18_x,P18_y,P18_z,P19_x,P19_y,P19_z
2022/07/25,ML-projectJulia,14,0,0,0,-45,0,14.4769,-67.76272,0,13.69118,-84.9072,0,0.4990978,-94.67162,0,-21.17844,-97.08649,0,-37.17499,-104.6696,0,-69.86308,-89.66962,0,-105.5569,-74.66962,0,-139.93,-59.66962,0,-169.8892,-44.66962,0,-178.6223,-29.66962,0,-209.2372,-14.66962,0,-215.2597,0.3303833,0,-200.2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,13,0,0,0,-45,0,14.39515,-67.28649,0,4.376957,-90.78897,0,12.85156,-99.4219,0,10.56348,-113.7422,0,-1.784741,-124.1007,0,-33.16774,-121.294,0,-62.66714,-107.3246,0,-87.39082,-92.3246,0,-116.7566,-77.3246,0,-159.6352,-62.3246,0,-173.9531,-47.3246,0,-188.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,3,0,0,0,-37.56231,0,14.17818,-46.51348,0,-12.48093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,17,0,0,0,-33.45866,0,15,-63.88046,0,17.20155,-93.76048,0,11.88327,-117.201,0,-0.8243761,-135.4136,0,-7.345045,-152.8631,0,-22.11337,-154.1627,0,-52.72648,-142.2366,0,-86.50682,-127.2366,0,-131.5068,-112.2366,0,-169.8442,-97.23656,0,-202.8251,-82.23656,0,-220.6111,-67.23656,0,-245.7572,-52.23656,0,-259.9243,-37.23656,0,-252.595,-22.23656,0,-250.1474,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,18,0,0,0,-45,0,15,-69.08358,0,30,-94.89325,0,11.2713,-126.7149,0,-13.2284,-128.1158,0,-42.69161,-125.8135,0,-67.19618,-112.6644,0,-112.1962,-97.6644,0,-132.6431,-82.6644,0,-157.2263,-67.6644,0,-171.4615,-52.6644,0,-199.3304,-37.6644,0,-216.9852,-22.6644,0,-215.2017,-7.664398,0,-205.7652,7.335602,0,-203.2501,22.3356,0,-210.2906,37.3356,0,-226.1313,0,0,0,0,0,0
2022/07/25,ML-projectJulia,4,0,0,0,-28.77911,0,6.183609,-50.48075,0,-3.314092,-57.29259,0,-21.40962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,10,0,0,0,-38.1264,0,7.090523,-78.55089,0,-9.689695,-84.5069,0,-29.53358,-90.68262,0,-53.31222,-85.52847,0,-89.7426,-70.52847,0,-114.1273,-55.52847,0,-128.2193,-40.52847,0,-139.8177,-25.52847,0,-153.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,11,0,0,0,-45,0,15,-72.62952,0,6.171522,-71.77125,0,-3.231022,-87.4213,0,-11.12559,-94.94921,0,-29.57887,-90.58776,0,-62.07455,-75.58776,0,-91.34912,-60.58776,0,-121.2011,-45.58776,0,-142.9029,-30.58776,0,-133.8504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,3,0,0,0,-28.50117,0,-9.847144,-36.70961,0,-33.06151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,4,0,0,0,-34.58757,0,4.151189,-68.824,0,-0.138124,-86.08932,0,-44.32697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,14,0,0,0,-45,0,8.263123,-63.22241,0,11.78682,-91.92848,0,-3.973085,-118.6431,0,-13.81958,-120.8751,0,-46.62528,-109.3931,0,-82.32513,-94.39307,0,-107.0126,-79.39307,0,-131.4738,-64.39307,0,-156.5451,-49.39307,0,-149.5979,-34.39307,0,-165.0353,-19.39307,0,-175.6711,-4.393066,0,-180.2788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,14,0,0,0,-45,0,15,-76.64627,0,15.30529,-100.7429,0,5.731884,-108.6785,0,-19.57248,-114.2173,0,-36.53977,-117.5765,0,-78.81902,-102.5765,0,-123.7937,-87.57648,0,-144.1266,-72.57648,0,-168.2153,-57.57648,0,-199.1118,-42.57648,0,-212.6315,-27.57648,0,-218.5865,-12.57648,0,-210.8705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,17,0,0,0,-45,0,15,-66.42925,0,29.63238,-87.88217,0,29.6879,-104.1256,0,1.646595,-120.0375,0,-12.36629,-147.61,0,-30.01846,-162.5272,0,-75.01846,-147.5272,0,-104.4948,-132.5272,0,-142.0886,-117.5272,0,-186.8756,-102.5272,0,-204.8405,-87.52719,0,-230.6823,-72.52719,0,-234.041,-57.52719,0,-256.1339,-42.52719,0,-270.7319,-27.52719,0,-260.1056,0,0,0,0,0,0,0,0,0
2022/07/25,ML-projectJulia,6,0,0,0,-40.34661,0,6.469023,-71.59423,0,6.395208,-93.18173,0,-14.03076,-104.6536,0,-30.59478,-99.87349,0,-65.7636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
